key,number,name,customer-type,coverage,badge-label,variants,badge-style.class-names.class-name,badge-style.background-color,badge-style.border-color,badge-style.color
11,11,Route 11 Portage-Kildonan,regular,regular,11,"[{'key': '11-0-*'}, {'key': '11-1-R'}, {'key': '11-0-S'}, {'key': '11-1-D'}, {'key': '11-0-W'}, {'key': '11-0-P'}, {'key': '11-0-C'}, {'key': '11-1-M'}, {'key': '11-1-##'}, {'key': '11-1-G'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
15,15,Route 15 Sargent-Mountain,regular,regular,15,"[{'key': '15-0-F'}, {'key': '15-0-L'}, {'key': '15-1-L'}, {'key': '15-1-C'}, {'key': '15-1-#'}, {'key': '15-1-I'}, {'key': '15-0-W'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
16,16,Route 16 Selkirk-Osborne,regular,regular,16,"[{'key': '16-0-B'}, {'key': '16-0-M'}, {'key': '16-1-P'}, {'key': '16-1-V'}, {'key': '16-1-##'}, {'key': '16-1-*'}, {'key': '16-1-L'}, {'key': '16-0-*'}, {'key': '16-1-K'}, {'key': '16-0-K'}, {'key': '16-0-s'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
17,17,Route 17 McGregor,regular,regular,17,"[{'key': '17-1-MH'}, {'key': '17-0-A'}, {'key': '17-0-S'}, {'key': '17-0-M'}, {'key': '17-1-G'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
12,12,Route 12 William,regular,regular,12,"[{'key': '12-1-C'}, {'key': '12-0-P'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
18,18,Route 18 North Main-Corydon,regular,regular,18,"[{'key': '18-1-E'}, {'key': '18-0-R'}, {'key': '18-0-J'}, {'key': '18-0-T'}, {'key': '18-1-C'}, {'key': '18-1-A'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
19,19,Route 19 Marion-Logan-Notre Dame,regular,regular,19,"[{'key': '19-0-#'}, {'key': '19-1-N'}, {'key': '19-0-N'}, {'key': '19-0-E'}, {'key': '19-1-D'}, {'key': '19-1-A'}, {'key': '19-0-L'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
10,10,Route 10 St. Boniface-West Broadway,regular,regular,10,"[{'key': '10-0-SP'}, {'key': '10-0-ST'}, {'key': '10-1-WT'}, {'key': '10-1-#'}, {'key': '10-1-WP'}, {'key': '10-1-W'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
14,14,Route 14 Ellice-St. Mary's,regular,regular,14,"[{'key': '14-0-D'}, {'key': '14-1-E'}, {'key': '14-1-##'}, {'key': '14-0-P'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
20,20,Route 20 Academy-Watt,regular,regular,20,"[{'key': '20-1-H'}, {'key': '20-0-W'}, {'key': '20-0-F'}, {'key': '20-1-A'}, {'key': '20-1-#'}, {'key': '20-1-T'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
29,29,Route 29 Sherbrook - Stafford,regular,regular,29,"[{'key': '29-0-L'}, {'key': '29-1-B'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
21,21,Route 21 Portage Express,regular,express,21,"[{'key': '21-0-G'}, {'key': '21-0-C'}, {'key': '21-0-S'}, {'key': '21-1-D'}, {'key': '21-0-W'}]","['badge-label', 'express']",#eed700,#cab700,#000000
22,22,Route 22 Assiniboia Express,regular,express,22,"[{'key': '22-1-D'}, {'key': '22-0-W'}, {'key': '22-0-C'}, {'key': '22-0-S'}]","['badge-label', 'express']",#eed700,#cab700,#000000
24,24,Route 24 Ness Express,regular,express,24,"[{'key': '24-1-P'}, {'key': '24-0-U'}, {'key': '24-1-#'}, {'key': '24-1-D'}]","['badge-label', 'express']",#eed700,#cab700,#000000
26,26,Route 26 Logan - Berry,regular,regular,26,"[{'key': '26-1-C'}, {'key': '26-0-T'}, {'key': '26-0-P'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
