,key,name,Route,description
0,11-1-M,Portage-Kildonan to City Hall,11.0,
1,11-1-D,Portage-Kildonan to North Kildonan via Donwood,11.0,
2,11-0-P,Portage-Kildonan to Polo Park,11.0,
3,11-1-R,Portage-Kildonan to North Kildonan via Rothesay,11.0,
4,11-1-G,Portage-Kildonan to Glenway via,11.0,
5,11-0-*,Portage-Kildonan to Henderson,11.0,
6,11-0-S,Portage-Kildonan to St. Charles via,11.0,
7,11-0-C,Portage-Kildonan to Crestview via,11.0,
8,11-0-W,Portage-Kildonan to Westwood via,11.0,
9,11-1-##,Portage-Kildonan to Portage & Rouge,11.0,
10,15-0-W,Sargent-Mountain to Airport via Wellington,15.0,
11,15-1-I,Sargent-Mountain to Inkster Park via Inkster,15.0,
12,15-0-L,Sargent-Mountain to Mountain and Fife,15.0,
13,15-0-F,Sargent-Mountain to Airport via Flight Road,15.0,
14,15-1-C,Sargent-Mountain to Inkster Park via Church,15.0,
15,15-1-L,Sargent-Mountain to Mountain & Fife,15.0,
16,15-1-#,Sargent-Mountain to Downtown,15.0,
17,16-0-s,Selkirk-Osborne to St.Vital Center,16.0,
18,16-0-B,Selkirk-Osborne to Tyndall Park via Burrows,16.0,
19,16-1-P,Selkirk-Osborne to Plaza Dr via St. Vital Centre,16.0,
20,16-0-M,Selkirk-Osborne to Tyndall Park via Manitoba,16.0,
21,16-1-##,Selkirk-Osborne to Southdale Centre,16.0,
22,16-1-V,Selkirk-Osborne to St.Vital Centre,16.0,
23,16-1-L,Selkirk-Osborne to Island Lakes via Southdale Centre,16.0,
24,16-1-*,Selkirk-Osborne to Selkirk & McPhillips,16.0,
25,16-1-K,Selkirk-Osborne to Kingston Row,16.0,
26,16-0-*,Selkirk-Osborne to Selkirk & McPhillips,16.0,
27,16-0-K,Selkirk-Osborne to Kingston Row,16.0,
28,17-0-A,McGregor to Amber Trails via,17.0,
29,17-1-MH,McGregor to Misericordia Health Centre,17.0,
30,17-0-M,McGregor to Maples via,17.0,
31,17-0-S,McGregor to Seven Oaks Hospital,17.0,
32,17-1-G,McGregor to Garden City Centre,17.0,
33,12-0-P,William to Polo Park,12.0,
34,12-1-C,William to City Hall,12.0,
35,18-1-E,North Main-Corydon to Tuxedo,18.0,
36,18-0-J,North Main-Corydon to Garden City Centre via Jefferson,18.0,
