name,count,Stop_Number
,,40001
,,40002
Unheated Shelter,1,40003
,,40004
,,40005
Bench,1,40006
Bench,1,40007
Unheated Shelter,1,40007
,,40008
,,40009
,,40010
,,40011
,,40012
,,40013
,,40014
Bench,1,40015
Unheated Shelter,1,40016
,,40017
,,40018
,,40019
,,40020
,,40021
Unheated Shelter,1,40022
Unheated Shelter,1,40023
,,40024
,,40025
,,40026
,,40027
Bench,1,40028
,,40029
,,40030
,,40031
,,40032
,,40033
Bench,1,40034
Unheated Shelter,1,40034
,,40035
Bench,1,40036
Bench,1,40037
,,40038
,,40039
,,40040
Bench,1,40041
Bench,1,40042
Bench,1,40043
,,40044
,,40045
Bench,1,40046
Unheated Shelter,1,40046
,,40047
Bench,1,40048
Bench,1,40049
Unheated Shelter,1,40049
Unheated Shelter,1,40050
,,40051
,,40052
,,40053
,,40054
,,40055
,,40056
,,40058
Bench,1,40059
Unheated Shelter,1,40059
Bench,1,40061
Unheated Shelter,1,40061
Bench,1,40062
,,40063
,,40064
Bench,1,40065
Unheated Shelter,1,40065
Bench,1,40066
Unheated Shelter,1,40066
,,40067
,,40068
,,40069
Bench,1,40070
Unheated Shelter,1,40071
Bench,1,40072
Bench,1,40073
,,40074
,,40075
,,40076
Bench,1,40077
Unheated Shelter,1,40077
Bench,1,40078
,,40079
,,40080
,,40081
,,40082
,,40083
,,40084
,,40085
,,40086
,,40087
,,40088
,,40089
Bench,1,40090
Unheated Shelter,1,40090
Bench,1,40091
Bench,1,40092
Unheated Shelter,1,40092
Bench,1,40093
,,40094
Bench,1,40095
Bench,1,40096
Bench,1,40097
Bench,1,40098
,,40099
,,40100
,,40101
Unheated Shelter,1,40102
,,40103
,,40104
,,40105
,,40106
Bench,1,40107
,,40108
,,40109
Bench,1,40110
Bench,1,40111
Unheated Shelter,1,40111
Bench,1,40112
Bench,1,40113
Bench,1,40114
Bench,1,40115
Bench,1,40116
Bench,1,40117
Bench,1,40118
Bench,1,40119
Unheated Shelter,1,40119
Bench,2,40120
Bench,2,40121
,,40122
,,40123
,,40124
,,40125
Bench,1,40127
Bench,2,40128
Unheated Shelter,1,40128
,,40129
,,40130
,,40131
,,40132
Unheated Shelter,1,40133
Bench,1,40134
,,40136
,,40137
,,40138
,,40139
,,40140
,,40141
,,40142
,,40143
,,40144
,,40145
,,40146
,,40147
,,40148
,,40149
,,40150
,,40151
,,40152
,,40153
Bench,1,40154
Bench,1,40155
Unheated Shelter,1,40156
,,40157
Bench,2,40158
Bench,1,40159
,,40160
,,40161
Bench,1,40162
,,40164
,,40165
,,40166
Unheated Shelter,1,40167
,,40168
,,40169
Bench,1,40170
Bench,1,40171
,,40172
,,40173
Bench,1,40174
Heated Shelter,1,40174
Park and Ride,1,40174
Bench,1,40175
Unheated Shelter,1,40175
,,40176
,,40177
Bench,1,40178
Bench,1,40179
,,40180
,,40181
Bench,1,40182
,,40183
Bench,1,40184
Bench,1,40185
BUSwatch Electronic Sign,1,40186
Bench,3,40186
Heated Shelter,1,40186
Park and Ride,1,40186
Bench,1,40187
Unheated Shelter,1,40187
Bench,1,40188
Bench,1,40189
Bench,1,40190
Bench,1,40191
Bench,1,40193
Unheated Shelter,1,40194
BUSwatch Electronic Sign,1,40195
Bench,2,40195
Heated Shelter,1,40195
Bench,1,40196
Unheated Shelter,1,40196
Bench,1,40197
Unheated Shelter,1,40197
Bench,1,40198
Bench,1,40199
,,40200
Bench,1,40201
,,40202
,,40203
Unheated Shelter,1,40204
,,40205
Bench,1,40206
Bench,1,40207
Unheated Shelter,1,40207
Bench,1,40208
Bench,1,40209
Unheated Shelter,1,40209
Bench,1,40210
Bench,1,40211
Bench,1,40212
,,40213
Bench,1,40214
Unheated Shelter,1,40215
,,40216
,,40217
,,40218
Bench,1,40219
,,40220
Bench,1,40222
Unheated Shelter,1,40223
Unheated Shelter,1,40224
Bench,1,40225
Unheated Shelter,1,40225
Bench,1,40226
Bench,1,40228
Bench,1,40229
Unheated Shelter,1,40229
Bench,1,40230
Unheated Shelter,1,40230
,,40231
,,40232
Bench,1,40233
,,40234
Bench,1,40235
Unheated Shelter,1,40235
Bench,1,40236
,,40237
,,40238
,,40239
,,40240
,,40241
Unheated Shelter,1,40242
Bench,1,40243
,,40244
,,40245
,,40246
,,40247
,,40248
,,40249
,,40250
,,40251
,,40252
,,40253
Bench,1,40254
Unheated Shelter,1,40254
,,40255
,,40256
,,40257
,,40258
Bench,1,40259
Unheated Shelter,1,40260
,,40261
,,40262
Bench,1,40263
,,40264
Bench,1,40265
Unheated Shelter,1,40265
,,40266
,,40267
,,40268
,,40269
,,40270
Unheated Shelter,1,40271
,,40272
,,40273
,,40274
,,40275
,,40276
,,40277
,,40278
,,40279
Bench,1,40280
Bench,1,40281
,,40282
,,40283
,,40284
,,40285
,,40286
Bench,1,40287
,,40288
,,40289
Bench,1,40290
Unheated Shelter,1,40290
Bench,1,40291
,,40292
Bench,1,40293
Bench,1,40294
Bench,1,40295
,,40296
,,40297
,,40298
,,40299
Unheated Shelter,1,40300
,,40301
,,40302
,,40303
,,40304
,,40305
,,40306
,,40307
Bench,1,40308
,,40309
,,40310
,,40311
Bench,1,40312
Unheated Shelter,1,40312
,,40313
Bench,1,40314
Unheated Shelter,1,40314
Unheated Shelter,1,40315
Unheated Shelter,1,40316
,,40317
,,40318
,,40319
Bench,1,40320
,,40321
Bench,1,40322
Bench,1,40323
,,40324
,,40325
,,40326
,,40327
,,40328
,,40329
,,40330
,,40331
,,40332
,,40333
,,40334
Unheated Shelter,1,40335
Bench,1,40336
Bench,1,40337
Unheated Shelter,1,40337
Unheated Shelter,1,40338
,,40339
,,40340
Unheated Shelter,1,40341
Bench,1,40342
Bench,1,40343
Bench,1,40344
Unheated Shelter,1,40345
Unheated Shelter,1,40346
,,40347
Unheated Shelter,1,40348
Bench,1,40349
Bench,1,40350
Bench,1,40351
Bench,1,40352
Bench,1,40353
,,40354
,,40355
,,40356
Bench,1,40357
,,40358
,,40359
,,40360
,,40361
,,40362
,,40363
,,40364
,,40365
,,40369
,,40370
Bench,1,40371
Bench,1,40372
Bench,1,40373
,,40374
,,40375
,,40376
Bench,1,40377
,,40378
Bench,1,40379
,,40380
Bench,1,40381
,,40382
Bench,1,40383
Bench,1,40384
Bench,1,40385
Unheated Shelter,1,40385
Bench,1,40387
Bench,1,40388
,,40389
Bench,1,40390
Unheated Shelter,1,40390
Bench,1,40391
Bench,1,40392
Bench,1,40393
Unheated Shelter,1,40393
Bench,1,40394
Unheated Shelter,1,40394
Bench,1,40395
,,40396
,,40397
Bench,1,40398
Bench,1,40399
Bench,1,40400
Bench,1,40401
Bench,1,40402
Bench,1,40403
Bench,1,40404
Unheated Shelter,1,40404
,,40405
,,40406
,,40407
Bench,1,40408
Unheated Shelter,1,40408
Bench,1,40409
Unheated Shelter,1,40409
Bench,1,40410
Unheated Shelter,1,40410
Bench,1,40411
Unheated Shelter,1,40411
Bench,1,40412
Unheated Shelter,1,40412
Bench,1,40414
Unheated Shelter,1,40414
Bench,1,40415
Unheated Shelter,1,40415
,,40416
Unheated Shelter,1,40417
Bench,1,40418
,,40419
Bench,3,40420
Unheated Shelter,1,40420
Unheated Shelter,1,40421
Bench,1,40422
BUSwatch Electronic Sign,1,40423
Bench,1,40423
Heated Shelter,1,40423
Bench,1,40424
Bench,1,40425
,,40426
,,40427
Bench,1,40428
Unheated Shelter,1,40428
,,40429
,,40430
,,40431
Bench,1,40432
,,40433
,,40434
,,40435
Bench,1,40436
,,40437
Bench,1,40438
,,40439
,,40440
Bench,1,40441
,,40442
,,40443
Bench,1,40445
,,40446
Bench,1,40447
Bench,1,40448
Unheated Shelter,1,40448
,,40449
Bench,1,40450
,,40451
,,40452
,,40453
,,40454
Bench,1,40455
,,40456
,,40457
,,40458
,,40459
,,40460
,,40461
,,40462
,,40463
Unheated Shelter,1,40464
,,40465
,,40466
,,40467
,,40469
Bench,1,40470
,,40471
Unheated Shelter,1,40472
,,40473
,,40474
,,40475
,,40476
,,40477
,,40478
,,40479
,,40481
,,40482
Unheated Shelter,1,40483
Bench,1,40484
Unheated Shelter,1,40484
,,40485
,,40486
Bench,1,40487
,,40488
,,40489
,,40490
,,40491
,,40492
,,40493
Bench,1,40494
Unheated Shelter,1,40494
,,40495
,,40496
,,40497
,,40498
,,40499
,,40500
,,40501
,,40502
Unheated Shelter,1,40503
,,40504
,,40505
,,40506
Bench,1,40507
,,40508
,,40509
Unheated Shelter,1,40510
,,40511
,,40512
Bench,1,40513
,,40514
Bench,1,40515
,,40516
,,40517
,,40518
,,40519
,,40520
,,40521
,,40522
Bench,1,40523
Unheated Shelter,1,40523
Bench,1,40524
Unheated Shelter,1,40524
Bench,1,40525
,,40526
,,40527
Bench,1,40528
,,40529
Bench,1,40530
,,40531
,,40532
Bench,1,40533
,,40534
Bench,1,40535
,,40536
,,40538
,,40539
,,40540
,,40541
,,40542
,,40543
,,40544
,,40545
,,40546
,,40547
,,40548
Bench,1,40549
Unheated Shelter,1,40549
,,40550
,,40551
,,40552
,,40553
,,40554
Unheated Shelter,1,40555
,,40556
,,40557
,,40558
Bench,1,40559
,,40560
Bench,1,40561
Bench,1,40562
,,40563
Bench,1,40564
Bench,1,40565
Bench,1,40566
Bench,1,40567
Bench,1,40568
Bench,1,40569
Bench,1,40570
,,40571
,,40572
,,40573
,,40574
,,40575
,,40576
,,40577
,,40578
,,40579
,,40580
,,40581
,,40582
Unheated Shelter,1,40583
,,40584
,,40585
,,40586
,,40588
,,40589
,,40590
,,40591
Bench,1,40592
,,40593
,,40594
,,40595
,,40596
,,40597
Unheated Shelter,1,40600
,,40601
,,40602
,,40603
,,40604
,,40605
,,40606
,,40607
,,40608
,,40609
,,40610
,,40611
,,40612
,,40613
